validFlag(0:false 1:true),checkinDate,checkoutDate
1,2022-10-29,2022-10-30
0,2022-11-05,2022-11-06
0,2022-11-12,2022-11-13
0,2022-11-19,2022-11-20
0,2022-11-26,2022-11-27
0,2022-12-03,2022-12-04
0,2022-12-10,2022-12-11
0,2022-12-17,2022-12-18
0,2022-12-24,2022-12-25
0,2023-01-14,2023-01-15
0,2023-01-21,2023-01-22
0,2023-01-28,2023-01-29
0,2023-02-04,2023-02-05
0,2023-02-11,2023-02-12
0,2023-02-18,2023-02-19
0,2023-02-25,2023-02-26
0,2023-03-04,2023-03-05
1,2023-03-11,2023-03-12
1,2023-03-18,2023-03-19
1,2023-03-25,2023-03-26
